seqid,source,type,start,end,score,strand,phase,length,ID,Dbxref,Is_circular,Name,gbkey,genome,mol_type,strain,substrain,gene,gene_biotype,gene_synonym,locus_tag,Parent,product,protein_id,transl_table,mobile_element_type,Note,pseudo,orig_protein_id,exception,transl_except
NC_000913.3,RefSeq,gene,190,255,,+,,66,gene-b0001,"ECOCYC:EG11277,GeneID:944742",,thrL,Gene,,,,,thrL,protein_coding,ECK0001,b0001,,,,,,,,,,
NC_000913.3,RefSeq,gene,337,2799,,+,,2463,gene-b0002,"ECOCYC:EG10998,GeneID:945803",,thrA,Gene,,,,,thrA,protein_coding,"ECK0002,Hs,thrA1,thrA2,thrD",b0002,,,,,,,,,,
NC_000913.3,RefSeq,gene,2801,3733,,+,,933,gene-b0003,"ECOCYC:EG10999,GeneID:947498",,thrB,Gene,,,,,thrB,protein_coding,ECK0003,b0003,,,,,,,,,,
NC_000913.3,RefSeq,gene,3734,5020,,+,,1287,gene-b0004,"ECOCYC:EG11000,GeneID:945198",,thrC,Gene,,,,,thrC,protein_coding,ECK0004,b0004,,,,,,,,,,
NC_000913.3,RefSeq,gene,5234,5530,,+,,297,gene-b0005,"ECOCYC:G6081,GeneID:944747",,yaaX,Gene,,,,,yaaX,protein_coding,ECK0005,b0005,,,,,,,,,,
NC_000913.3,RefSeq,gene,5683,6459,,-,,777,gene-b0006,"ECOCYC:EG10011,GeneID:944749",,yaaA,Gene,,,,,yaaA,protein_coding,ECK0006,b0006,,,,,,,,,,
NC_000913.3,RefSeq,gene,6529,7959,,-,,1431,gene-b0007,"ECOCYC:EG11555,GeneID:944745",,yaaJ,Gene,,,,,yaaJ,protein_coding,ECK0007,b0007,,,,,,,,,,
NC_000913.3,RefSeq,gene,8238,9191,,+,,954,gene-b0008,"ECOCYC:EG11556,GeneID:944748",,talB,Gene,,,,,talB,protein_coding,"ECK0008,yaaK",b0008,,,,,,,,,,
NC_000913.3,RefSeq,gene,9306,9893,,+,,588,gene-b0009,"ECOCYC:EG11511,GeneID:944760",,mog,Gene,,,,,mog,protein_coding,"bisD,chlG,ECK0009,mogA,yaaG",b0009,,,,,,,,,,
NC_000913.3,RefSeq,gene,9928,10494,,-,,567,gene-b0010,"ECOCYC:EG11512,GeneID:944792",,satP,Gene,,,,,satP,protein_coding,"ECK0010,yaaH",b0010,,,,,,,,,,
NC_000913.3,RefSeq,gene,10643,11356,,-,,714,gene-b0011,"ECOCYC:G6082,GeneID:944771",,yaaW,Gene,,,,,yaaW,protein_coding,ECK0011,b0011,,,,,,,,,,
NC_000913.3,RefSeq,gene,10830,11315,,+,,486,gene-b0012,"ECOCYC:EG11509,GeneID:948295",,mbiA,Gene,,,,,mbiA,protein_coding,"ECK0012,htgA,htpY",b0012,,,,,,,,,,
NC_000913.3,RefSeq,gene,11382,11786,,-,,405,gene-b0013,"ECOCYC:G8202,GeneID:944751",,yaaI,Gene,,,,,yaaI,protein_coding,ECK0013,b0013,,,,,,,,,,
NC_000913.3,RefSeq,gene,12163,14079,,+,,1917,gene-b0014,"ECOCYC:EG10241,GeneID:944750",,dnaK,Gene,,,,,dnaK,protein_coding,"ECK0014,groPAB,groPC,groPF,grpC,grpF,seg",b0014,,,,,,,,,,
NC_000913.3,RefSeq,gene,14168,15298,,+,,1131,gene-b0015,"ECOCYC:EG10240,GeneID:944753",,dnaJ,Gene,,,,,dnaJ,protein_coding,"ECK0015,groP,grpC",b0015,,,,,,,,,,
NC_000913.3,RefSeq,gene,15445,16557,,+,,1113,gene-b0016,"ECOCYC:G6083,GeneID:944754",,insL1,Gene,,,,,insL1,protein_coding,"ECK0016,yi81-1",b0016,,,,,,,,,,
NC_000913.3,RefSeq,gene,16751,16960,,-,,210,gene-b0018,"ECOCYC:EG10373,GeneID:944756",,mokC,Gene,,,,,mokC,protein_coding,"ECK0018,gefL",b0018,,,,,,,,,,
NC_000913.3,RefSeq,gene,16751,16903,,-,,153,gene-b4412,"ECOCYC:G0-9563,GeneID:2847744",,hokC,Gene,,,,,hokC,protein_coding,"ECK0017,gef",b4412,,,,,,,,,,
NC_000913.3,RefSeq,gene,16952,17010,,+,,59,gene-b4413,"ECOCYC:G0-9581,GeneID:2847745",,sokC,Gene,,,,,sokC,ncRNA,"ECK0019,sof",b4413,,,,,,,,,,
NC_000913.3,RefSeq,gene,17489,18655,,+,,1167,gene-b0019,"ECOCYC:EG10652,GeneID:944758",,nhaA,Gene,,,,,nhaA,protein_coding,"ant,antA,ECK0020",b0019,,,,,,,,,,
NC_000913.3,RefSeq,gene,18715,19620,,+,,906,gene-b0020,"ECOCYC:EG11078,GeneID:944757",,nhaR,Gene,,,,,nhaR,protein_coding,"antO,ECK0021,yaaB",b0020,,,,,,,,,,
NC_000913.3,RefSeq,gene,19811,20314,,-,,504,gene-b0021,"ECOCYC:G6085,GeneID:944743",,insB1,Gene,,,,,insB1,protein_coding,ECK0022,b0021,,,,,,,,,,
NC_000913.3,RefSeq,gene,20233,20508,,-,,276,gene-b0022,"ECOCYC:G6086,GeneID:948449",,insA1,Gene,,,,,insA1,protein_coding,ECK0023,b0022,,,,,,,,,,
NC_000913.3,RefSeq,gene,20815,21078,,-,,264,gene-b0023,"ECOCYC:EG10919,GeneID:944759",,rpsT,Gene,,,,,rpsT,protein_coding,"ECK0024,sup(s20),supS,supS20",b0023,,,,,,,,,,
NC_000913.3,RefSeq,gene,21181,21399,,+,,219,gene-b0024,"ECOCYC:G6087,GeneID:949128",,yaaY,Gene,,,,,yaaY,protein_coding,ECK0025,b0024,,,,,,,,,,
NC_000913.3,RefSeq,gene,21407,22348,,+,,942,gene-b0025,"ECOCYC:EG11079,GeneID:949129",,ribF,Gene,,,,,ribF,protein_coding,"ECK0026,yaaC",b0025,,,,,,,,,,
NC_000913.3,RefSeq,gene,22391,25207,,+,,2817,gene-b0026,"ECOCYC:EG10492,GeneID:944761",,ileS,Gene,,,,,ileS,protein_coding,"ECK0027,ilvS",b0026,,,,,,,,,,
NC_000913.3,RefSeq,gene,25207,25701,,+,,495,gene-b0027,"ECOCYC:EG10548,GeneID:944800",,lspA,Gene,,,,,lspA,protein_coding,"ECK0028,lsp",b0027,,,,,,,,,,
NC_000913.3,RefSeq,gene,25826,26275,,+,,450,gene-b0028,"ECOCYC:EG11080,GeneID:944807",,fkpB,Gene,,,,,fkpB,protein_coding,"ECK0029,slpA,yaaD",b0028,,,,,,,,,,
NC_000913.3,RefSeq,gene,26277,27227,,+,,951,gene-b0029,"ECOCYC:EG11081,GeneID:944777",,ispH,Gene,,,,,ispH,protein_coding,"ECK0030,lytB,yaaE",b0029,,,,,,,,,,
NC_000913.3,RefSeq,gene,27293,28207,,+,,915,gene-b0030,"ECOCYC:EG11082,GeneID:944796",,rihC,Gene,,,,,rihC,protein_coding,"ECK0031,yaaF",b0030,,,,,,,,,,
NC_000913.3,RefSeq,gene,28374,29195,,+,,822,gene-b0031,"ECOCYC:EG10206,GeneID:944762",,dapB,Gene,,,,,dapB,protein_coding,ECK0032,b0031,,,,,,,,,,
NC_000913.3,RefSeq,gene,29651,30799,,+,,1149,gene-b0032,"ECOCYC:EG10134,GeneID:949025",,carA,Gene,,,,,carA,protein_coding,"arg,ECK0033,pyrA",b0032,,,,,,,,,,
NC_000913.3,RefSeq,gene,30817,34038,,+,,3222,gene-b0033,"ECOCYC:EG10135,GeneID:944775",,carB,Gene,,,,,carB,protein_coding,"ECK0034,pyrA",b0033,,,,,,,,,,
NC_000913.3,RefSeq,gene,34300,34695,,+,,396,gene-b0034,"ECOCYC:G6088,GeneID:944795",,caiF,Gene,,,,,caiF,protein_coding,ECK0035,b0034,,,,,,,,,,
