seqid,source,type,start,end,score,strand,phase,length,ID,Dbxref,Is_circular,Name,gbkey,genome,mol_type,strain,substrain,gene,gene_biotype,gene_synonym,locus_tag,Parent,product,protein_id,transl_table,mobile_element_type,Note,pseudo,orig_protein_id,exception,transl_except
NC_000913.3,RefSeq,CDS,190,255,,+,0,66,cds-NP_414542.1,"UniProtKB/Swiss-Prot:P0AD86,GenBank:NP_414542.1,ECOCYC:EG11277,GeneID:944742",,NP_414542.1,CDS,,,,,thrL,,,b0001,gene-b0001,thr operon leader peptide,NP_414542.1,11,,,,,,
NC_000913.3,RefSeq,CDS,337,2799,,+,0,2463,cds-NP_414543.1,"UniProtKB/Swiss-Prot:P00561,GenBank:NP_414543.1,ECOCYC:EG10998,GeneID:945803",,NP_414543.1,CDS,,,,,thrA,,,b0002,gene-b0002,fused aspartate kinase/homoserine dehydrogenase 1,NP_414543.1,11,,,,,,
NC_000913.3,RefSeq,CDS,2801,3733,,+,0,933,cds-NP_414544.1,"UniProtKB/Swiss-Prot:P00547,GenBank:NP_414544.1,ECOCYC:EG10999,GeneID:947498",,NP_414544.1,CDS,,,,,thrB,,,b0003,gene-b0003,homoserine kinase,NP_414544.1,11,,,,,,
NC_000913.3,RefSeq,CDS,3734,5020,,+,0,1287,cds-NP_414545.1,"UniProtKB/Swiss-Prot:P00934,GenBank:NP_414545.1,ECOCYC:EG11000,GeneID:945198",,NP_414545.1,CDS,,,,,thrC,,,b0004,gene-b0004,threonine synthase,NP_414545.1,11,,,,,,
NC_000913.3,RefSeq,CDS,5234,5530,,+,0,297,cds-NP_414546.1,"UniProtKB/Swiss-Prot:P75616,GenBank:NP_414546.1,ECOCYC:G6081,GeneID:944747",,NP_414546.1,CDS,,,,,yaaX,,,b0005,gene-b0005,DUF2502 domain-containing protein YaaX,NP_414546.1,11,,,,,,
NC_000913.3,RefSeq,CDS,5683,6459,,-,0,777,cds-NP_414547.1,"UniProtKB/Swiss-Prot:P0A8I3,GenBank:NP_414547.1,ECOCYC:EG10011,GeneID:944749",,NP_414547.1,CDS,,,,,yaaA,,,b0006,gene-b0006,DNA binding and peroxide stress response protein YaaA,NP_414547.1,11,,,,,,
NC_000913.3,RefSeq,CDS,6529,7959,,-,0,1431,cds-NP_414548.1,"UniProtKB/Swiss-Prot:P30143,GenBank:NP_414548.1,ECOCYC:EG11555,GeneID:944745",,NP_414548.1,CDS,,,,,yaaJ,,,b0007,gene-b0007,putative transporter YaaJ,NP_414548.1,11,,,,,,
NC_000913.3,RefSeq,CDS,8238,9191,,+,0,954,cds-NP_414549.1,"UniProtKB/Swiss-Prot:P0A870,GenBank:NP_414549.1,ECOCYC:EG11556,GeneID:944748",,NP_414549.1,CDS,,,,,talB,,,b0008,gene-b0008,transaldolase B,NP_414549.1,11,,,,,,
NC_000913.3,RefSeq,CDS,9306,9893,,+,0,588,cds-NP_414550.1,"UniProtKB/Swiss-Prot:P0AF03,GenBank:NP_414550.1,ECOCYC:EG11511,GeneID:944760",,NP_414550.1,CDS,,,,,mog,,,b0009,gene-b0009,molybdopterin adenylyltransferase,NP_414550.1,11,,,,,,
NC_000913.3,RefSeq,CDS,9928,10494,,-,0,567,cds-NP_414551.1,"UniProtKB/Swiss-Prot:P0AC98,GenBank:NP_414551.1,ECOCYC:EG11512,GeneID:944792",,NP_414551.1,CDS,,,,,satP,,,b0010,gene-b0010,acetate/succinate:H(+) symporter,NP_414551.1,11,,,,,,
NC_000913.3,RefSeq,CDS,10643,11356,,-,0,714,cds-NP_414552.1,"UniProtKB/Swiss-Prot:P75617,GenBank:NP_414552.1,ECOCYC:G6082,GeneID:944771",,NP_414552.1,CDS,,,,,yaaW,,,b0011,gene-b0011,putative enzyme-specific chaperone YaaW,NP_414552.1,11,,,,,,
NC_000913.3,RefSeq,CDS,10830,11315,,+,0,486,cds-YP_009518733.1,"UniProtKB/Swiss-Prot:P28697,GenBank:YP_009518733.1,ECOCYC:EG11509,GeneID:948295",,YP_009518733.1,CDS,,,,,mbiA,,,b0012,gene-b0012,uncharacterized protein MbiA,YP_009518733.1,11,,,,,,
NC_000913.3,RefSeq,CDS,11382,11786,,-,0,405,cds-NP_414554.1,"UniProtKB/Swiss-Prot:P28696,GenBank:NP_414554.1,ECOCYC:G8202,GeneID:944751",,NP_414554.1,CDS,,,,,yaaI,,,b0013,gene-b0013,DUF2541 domain-containing protein YaaI,NP_414554.1,11,,,,,,
NC_000913.3,RefSeq,CDS,12163,14079,,+,0,1917,cds-NP_414555.1,"UniProtKB/Swiss-Prot:P0A6Y8,GenBank:NP_414555.1,ECOCYC:EG10241,GeneID:944750",,NP_414555.1,CDS,,,,,dnaK,,,b0014,gene-b0014,chaperone protein DnaK,NP_414555.1,11,,,,,,
